"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"15",Hawaii,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,11,288,342,342,1772.2091,594.86304,462.6058,422.20886
State,"15",Hawaii,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,4,281,316,316,414.33545,88.84481,68.654144,68.51117
State,"16",Idaho,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,4,68,68,68,305.32352,39.301323,22.770441,23.199852
State,"16",Idaho,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,8,107,115,115,275.52173,82.05843,62.588608,66.202
State,"16",Idaho,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,11,106,106,106,240.60452,38.793396,29.029434,31.323208
State,"16",Idaho,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,15,91,91,91,330.4066,65.61604,50.11934,56.954285
State,"16",Idaho,"95810",Sleep study in sleep lab (6 years or older),N,F,29,642,650,650,342.2798,110.44585,83.26141,86.62405
State,"16",Idaho,"95810",Sleep study in sleep lab (6 years or older),N,O,19,353,370,370,843.01746,342.0566,265.468,286.56116
State,"16",Idaho,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,27,866,906,906,360.20215,115.77906,87.787895,90.80893
State,"16",Idaho,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,15,283,310,310,888.24725,360.38916,279.60913,300.58768
State,"16",Idaho,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,F,2,16,16,16,163.0,39.13375,27.044374,27.0525
State,"16",Idaho,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,5,77,77,77,437.35065,43.535454,30.142986,29.625065
State,"16",Idaho,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,18,1061,1073,1073,156.33923,44.633858,33.690598,33.443905
